epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2229.24,0.75632,1.55143,0.25546,0.43982,1.01626,0.95356,0.95455,0.95901,0.73953,0.93081,0.93182,0.92432,0.67186,1.01413,1.58949,0.14821,0.45136,1.28847,0.0009044,0.0009044,0.0009044
85,2255.78,0.73512,1.51963,0.22922,0.43381,0.99942,0.95383,0.95455,0.96094,0.74173,0.93107,0.93182,0.92972,0.64196,0.98662,1.57422,0.14207,0.42992,1.31648,0.0008912,0.0008912,0.0008912
86,2282.39,0.74221,1.46918,0.2382,0.43378,1.01373,0.95351,0.95455,0.96206,0.73737,0.93076,0.93182,0.93417,0.6317,0.96875,1.57595,0.16776,0.42277,1.24836,0.000878,0.000878,0.000878
87,2308.94,0.72308,1.58011,0.24923,0.41933,1.00724,0.95331,0.95455,0.95425,0.71789,0.93057,0.93182,0.91727,0.62064,0.98874,1.6216,0.15374,0.44911,1.24592,0.0008648,0.0008648,0.0008648
88,2335.45,0.71252,1.35642,0.22984,0.41332,0.99584,0.95448,0.95314,0.96045,0.7312,0.93172,0.93045,0.91927,0.67606,0.96353,1.46891,0.1521,0.49093,1.25459,0.0008516,0.0008516,0.0008516
89,2361.96,0.71427,1.52932,0.23459,0.41537,0.98501,0.93206,0.95455,0.93491,0.70656,0.90984,0.93182,0.8989,0.63858,0.99358,1.58345,0.15294,0.45955,1.31508,0.0008384,0.0008384,0.0008384
90,2388.43,0.70926,1.49734,0.21907,0.41604,0.98289,0.93214,0.95455,0.94024,0.73138,0.90995,0.93182,0.90832,0.63351,0.9216,1.58619,0.1545,0.45653,1.26681,0.0008252,0.0008252,0.0008252
91,2414.93,0.71812,1.52141,0.23777,0.42427,1.01049,0.95315,0.95455,0.9572,0.75147,0.9287,0.90909,0.89608,0.62581,0.93567,1.66509,0.15064,0.42313,1.24264,0.000812,0.000812,0.000812
92,2441.57,0.68997,1.38319,0.22423,0.40673,0.97946,0.95325,0.95455,0.95953,0.7425,0.93052,0.93182,0.91809,0.63208,0.92581,1.57728,0.15658,0.42501,1.22253,0.0007988,0.0007988,0.0007988
93,2468.13,0.68175,1.46436,0.24091,0.39693,0.9741,0.95324,0.95455,0.96561,0.75178,0.93054,0.93182,0.92897,0.65933,0.94681,1.56027,0.15706,0.40545,1.27531,0.0007856,0.0007856,0.0007856
94,2494.55,0.67665,1.49549,0.23937,0.40295,0.98193,0.95344,0.95455,0.96924,0.75424,0.908,0.90909,0.90467,0.64511,0.95656,1.59459,0.15794,0.4365,1.2603,0.0007724,0.0007724,0.0007724
95,2520.92,0.68229,1.4794,0.22216,0.39615,0.98113,0.95331,0.95455,0.95758,0.73151,0.93062,0.93182,0.92255,0.64502,0.96053,1.5754,0.15654,0.43952,1.3088,0.0007592,0.0007592,0.0007592
96,2547.41,0.67289,1.37443,0.22136,0.4123,0.97649,0.94752,0.95455,0.96064,0.73046,0.92496,0.93182,0.93783,0.64142,0.97341,1.65529,0.15125,0.46249,1.30211,0.000746,0.000746,0.000746
97,2573.45,0.66334,1.26543,0.21173,0.40934,0.96592,0.95328,0.95455,0.95991,0.71859,0.93058,0.93182,0.92361,0.63477,1.01406,1.63365,0.15763,0.468,1.31759,0.0007328,0.0007328,0.0007328
98,2597.63,0.64447,1.35814,0.22799,0.38883,0.95251,0.95321,0.95455,0.96582,0.73957,0.93051,0.93182,0.92866,0.63906,0.99411,1.64191,0.14963,0.41085,1.33052,0.0007196,0.0007196,0.0007196
99,2621.89,0.6912,1.40539,0.22362,0.39994,0.97966,0.93272,0.95455,0.95644,0.72804,0.88818,0.90909,0.86429,0.60712,0.96452,1.65125,0.1558,0.43046,1.27828,0.0007064,0.0007064,0.0007064
100,2646.09,0.66661,1.29171,0.21103,0.39515,0.97499,0.93171,0.95455,0.9604,0.72899,0.90952,0.93182,0.93372,0.64503,0.99975,1.5739,0.16118,0.45213,1.29847,0.0006932,0.0006932,0.0006932
101,2670.39,0.64285,1.34276,0.21227,0.39051,0.96945,0.93142,0.95455,0.9631,0.74545,0.90925,0.93182,0.93392,0.65744,0.99794,1.52837,0.14655,0.47462,1.30353,0.00068,0.00068,0.00068
102,2694.62,0.65369,1.33961,0.21359,0.39598,0.97782,0.95272,0.95455,0.94641,0.713,0.93003,0.93182,0.91426,0.62828,0.9768,1.64356,0.14971,0.46914,1.27857,0.0006668,0.0006668,0.0006668
103,2718.76,0.6709,1.33196,0.22971,0.39445,0.98684,0.92364,0.95455,0.95134,0.7282,0.90165,0.93182,0.92781,0.64223,1.00487,1.53265,0.15393,0.46774,1.30761,0.0006536,0.0006536,0.0006536
104,2743.03,0.64843,1.25155,0.21384,0.38656,0.95902,0.93332,0.95432,0.96275,0.73459,0.9111,0.93165,0.94052,0.65722,1.02651,1.48857,0.16068,0.4797,1.33853,0.0006404,0.0006404,0.0006404
105,2767.28,0.63408,1.33977,0.22552,0.37186,0.96071,0.94964,0.93182,0.9648,0.74735,0.9065,0.93182,0.93083,0.65169,0.98425,1.48261,0.1568,0.47438,1.2784,0.0006272,0.0006272,0.0006272
106,2791.52,0.64039,1.3108,0.20918,0.37235,0.96409,0.95258,0.95455,0.96639,0.74053,0.9299,0.93182,0.93454,0.65708,1.01471,1.58528,0.15533,0.46783,1.31906,0.000614,0.000614,0.000614
